Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/session/report/6f7620b2-616e-4ad1-ad9b-dddd72cb7931,1,0,217.3758999997517,217.3758999997517,217.3758999997517,217.3758999997517,4909.0,0.016690510002255004,0.0,220,220,220,220,220,220,220,220,220,220,220
GET,/api/session/report/7137a24a-84df-4927-912b-72298032e4fd,1,0,80.8509999915259,80.8509999915259,80.8509999915259,80.8509999915259,6405.0,0.016690510002255004,0.0,81,81,81,81,81,81,81,81,81,81,81
GET,/api/session/report/7167275d-0f49-415b-8217-eab3109ebf4b,1,0,175.56629999307916,175.56629999307916,175.56629999307916,175.56629999307916,5558.0,0.016690510002255004,0.0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/session/report/7570fd88-8e30-4fe9-91e5-3d94c29ee8a2,1,0,84.32840000023134,84.32840000023134,84.32840000023134,84.32840000023134,3596.0,0.016690510002255004,0.0,84,84,84,84,84,84,84,84,84,84,84
GET,/api/session/report/75b93bde-f01a-41ec-8261-c1f52d66944c,1,0,588.7075000064215,588.7075000064215,588.7075000064215,588.7075000064215,6044.0,0.016690510002255004,0.0,590,590,590,590,590,590,590,590,590,590,590
GET,/api/session/report/76ad028d-0278-40fe-8126-50e71650d382,1,0,484.6525000029942,484.6525000029942,484.6525000029942,484.6525000029942,5249.0,0.016690510002255004,0.0,480,480,480,480,480,480,480,480,480,480,480
GET,/api/session/report/77240785-f170-4696-a0a5-c4c41cad91aa,1,0,26.265299995429814,26.265299995429814,26.265299995429814,26.265299995429814,1335.0,0.016690510002255004,0.0,26,26,26,26,26,26,26,26,26,26,26
GET,/api/session/report/773092de-35ae-41ec-91fd-8c963e72fdda,1,0,140.16779999656137,140.16779999656137,140.16779999656137,140.16779999656137,2921.0,0.016690510002255004,0.0,140,140,140,140,140,140,140,140,140,140,140
GET,/api/session/report/77a135d9-abd4-484e-8d25-259ca9ce9c28,1,0,291.7329000047175,291.7329000047175,291.7329000047175,291.7329000047175,5504.0,0.016690510002255004,0.0,290,290,290,290,290,290,290,290,290,290,290
GET,/api/session/report/79d8bbc2-4dd0-4b56-b325-67f9196b0a59,1,0,247.86079999466892,247.86079999466892,247.86079999466892,247.86079999466892,4340.0,0.016690510002255004,0.0,250,250,250,250,250,250,250,250,250,250,250
GET,/api/session/report/7a9f7efb-8e3a-4477-983b-a08d4d396b90,1,0,386.76229999691714,386.76229999691714,386.76229999691714,386.76229999691714,4787.0,0.016690510002255004,0.0,390,390,390,390,390,390,390,390,390,390,390
GET,/api/session/report/7d74cf8a-1810-448a-ab3d-47d83e5e46ec,1,0,85.53779999783728,85.53779999783728,85.53779999783728,85.53779999783728,1335.0,0.016690510002255004,0.0,86,86,86,86,86,86,86,86,86,86,86
GET,/api/session/report/7f00ba49-d88a-4a5e-aa61-bbe6be9897be,1,0,118.59220000042114,118.59220000042114,118.59220000042114,118.59220000042114,1986.0,0.016690510002255004,0.0,120,120,120,120,120,120,120,120,120,120,120
GET,/api/session/report/82d003b3-3fe5-46d9-bd08-d0a9a9822dbc,1,0,1004.8002000112319,1004.8002000112319,1004.8002000112319,1004.8002000112319,5512.0,0.016690510002255004,0.0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
GET,/api/session/report/8696a17c-8354-4570-be91-4ac87519c53c,1,0,2347.899400003371,2347.899400003371,2347.899400003371,2347.899400003371,6303.0,0.016690510002255004,0.0,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300
GET,/api/session/report/8941c832-03a5-4d8c-9c19-f3b632a7d8ed,1,0,149.6406000078423,149.6406000078423,149.6406000078423,149.6406000078423,4423.0,0.016690510002255004,0.0,150,150,150,150,150,150,150,150,150,150,150
GET,/api/session/report/89da3439-e6d2-4952-8798-835e27fe872b,1,0,348.19319999951404,348.19319999951404,348.19319999951404,348.19319999951404,5421.0,0.016690510002255004,0.0,350,350,350,350,350,350,350,350,350,350,350
GET,/api/session/report/8ad2d696-712d-468f-8510-213e8f7df7a4,1,0,207.2792999970261,207.2792999970261,207.2792999970261,207.2792999970261,4555.0,0.016690510002255004,0.0,210,210,210,210,210,210,210,210,210,210,210
GET,/api/session/report/8c16fbf4-fa03-4ffc-b7b7-2f1126f0ec47,1,1,270.90630000748206,270.90630000748206,270.90630000748206,270.90630000748206,21.0,0.016690510002255004,0.016690510002255004,270,270,270,270,270,270,270,270,270,270,270
GET,/api/session/report/8c45ecee-fd23-4ffc-939a-0e76ff0d4da9,1,0,1239.0768000041135,1239.0768000041135,1239.0768000041135,1239.0768000041135,5282.0,0.016690510002255004,0.0,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200
GET,/api/session/report/8ca0f5b1-35b2-4f37-82d7-17ef6bc227c7,1,0,206.3826999947196,206.3826999947196,206.3826999947196,206.3826999947196,3320.0,0.016690510002255004,0.0,210,210,210,210,210,210,210,210,210,210,210
GET,/api/session/report/901a812c-5c21-425a-8593-3f0bc143d9e0,1,1,266.51839999249205,266.51839999249205,266.51839999249205,266.51839999249205,21.0,0.016690510002255004,0.016690510002255004,270,270,270,270,270,270,270,270,270,270,270
GET,/api/session/report/912147e9-d526-4128-a06d-6ac6b3bae9e6,1,0,214.73980000882875,214.73980000882875,214.73980000882875,214.73980000882875,6278.0,0.016690510002255004,0.0,210,210,210,210,210,210,210,210,210,210,210
GET,/api/session/report/915f06f5-1655-4120-98b7-e406ae9e06c0,1,0,939.743399998406,939.743399998406,939.743399998406,939.743399998406,4543.0,0.016690510002255004,0.0,940,940,940,940,940,940,940,940,940,940,940
GET,/api/session/report/91664100-ab49-4130-bcc7-1d85bfb4e0d9,1,0,459.42560001276433,459.42560001276433,459.42560001276433,459.42560001276433,1335.0,0.016690510002255004,0.0,460,460,460,460,460,460,460,460,460,460,460
GET,/api/session/report/92786a1d-d729-46f1-a6c0-ef233d5fbdeb,1,0,249.3354000034742,249.3354000034742,249.3354000034742,249.3354000034742,6325.0,0.016690510002255004,0.0,250,250,250,250,250,250,250,250,250,250,250
GET,/api/session/report/93f0e26c-425c-42e2-901c-50e669c572e9,1,0,550.0202999974135,550.0202999974135,550.0202999974135,550.0202999974135,5413.0,0.016690510002255004,0.0,550,550,550,550,550,550,550,550,550,550,550
GET,/api/session/report/9589a8d5-3f42-487f-983a-f3da686ea3e0,1,0,42.73220000322908,42.73220000322908,42.73220000322908,42.73220000322908,1335.0,0.016690510002255004,0.0,43,43,43,43,43,43,43,43,43,43,43
GET,/api/session/report/9674871e-1664-42cd-8471-67f859dfc1cb,1,0,914.8805000004359,914.8805000004359,914.8805000004359,914.8805000004359,5185.0,0.016690510002255004,0.0,910,910,910,910,910,910,910,910,910,910,910
GET,/api/session/report/992344c7-9f37-44f7-9e5e-0a393028fced,1,0,145.95019999251235,145.95019999251235,145.95019999251235,145.95019999251235,1335.0,0.016690510002255004,0.0,150,150,150,150,150,150,150,150,150,150,150
